;Extrato de: Agência: 0000  Conta: 00000-0;;;
Data;Lançamento;Dcto.;Crédito (R$);Débito (R$)
05/05/2026;SALDO ANTERIOR;;;
06/05/2026;TRANSFERENCIA PIX REM: ALEX PEREIRA POATAN 06/05;6166116;110;
06/05/2026;TRANSFERENCIA PIX REM: ANDERSON SILVA SPIDER 06/05;1234162;158;
06/05/2026;TRANSFERENCIA PIX REM: MATHEUS BRASILEIRO 06/05;6214234213;285;
06/05/2026;TRANSFERENCIA PIX REM: ANITA SILVA 06/05;5123512;42;
06/05/2026;TRANSFERENCIA PIX REM: LUIS INACIO 06/05;151161616;180;
06/05/2026;TRANSFERENCIA PIX REM: TRUMP DA SILVA SANTOS 06/05;34153216512;90;
06/05/2026;TRANSFERENCIA PIX REM: MERCADINHO ALEGRIA 06/05;1446049;213;
06/05/2026;TRANSFERENCIA PIX REM: TOYOTA COROLA 06/05;1447224;566;
06/05/2026;TRANSFERENCIA PIX REM: MERCADO PAGO 06/05;1541274;83;
06/05/2026;TRANSFERENCIA PIX REM: FORRO DE QUALIDADE 06/05;52112125;90;
06/05/2026;TRANSFERENCIA PIX REM: Pedro Alvares Cabral 06/05;511155151;85;
06/05/2026;TRANSFERENCIA PIX REM: Dona Leupodina  06/05;5112521521;54;
06/05/2026;RENTAB.INVEST FACILCRED*;34214423;0,08;
06/05/2026;RENTAB.INVEST FACILCRED*;15412515;0,01;
06/05/2026;PAGTO ELETRON  COBRANCA PAGAMENTO MERCANTE E ROFE;1525132;;-9.889,90
06/05/2026;PAGTO ELETRONICO TRIBUTO INTERNET --SEFAZ/CE;513251215;;-220,45
06/05/2026;PAGTO ELETRONICO TRIBUTO INTERNET --SEFAZ/CE;1412321;;-220,45
06/05/2026;PAGTO ELETRONICO TRIBUTO INTERNET --SEFAZ/CE;4114211;;-359,3
06/05/2026;TARIFA TRANSFEREN  VALOR TAR TRANSF VR;311131;;-18,6
07/05/2026;LIQUIDACAO DE COBRANCA VALOR DISPONIVEL;13313113;11.940,10;
07/05/2026;TRANSFERENCIA PIX REM: WELVIS PRESLEY 07/05;15151253;96;
07/05/2026;TRANSFERENCIA PIX REM: AVENIDA CASTELO BRANCO  07/05;314142;168;
07/05/2026;TRANSFERENCIA PIX REM: Pedro Alvares CABRAL 07/05;32121551;143;
07/05/2026;TRANSFERENCIA PIX REM: Luis Inacio de Brasilia 07/05;4511616;183;
07/05/2026;TRANSFERENCIA PIX REM: Play Store 07/05;61614124;88;
07/05/2026;TRANSFERENCIA PIX REM: God Of War  07/05;651214;358;
07/05/2026;TRANSFERENCIA PIX REM: CANETA AZUL   07/05;657659;257;
07/05/2026;TRANSFERENCIA PIX REM: TIRINGA HUMORISTA  07/05;9505865645;102;
07/05/2026;TRANSFERENCIA PIX REM: Pagina da Choquei 07/05;865654543;153;
07/05/2026;TRANSFERENCIA PIX REM: MC RYAN SP       07/05;3215451;372;
07/05/2026;TRANSFERENCIA PIX REM: Mercado Pago  07/05;252523;836;
07/05/2026;TRANSFERENCIA PIX REM: Organização Python 07/05;2352661;55;
07/05/2026;DEP DINHEIRO BCO 24H;403972;1.800,00;
07/05/2026;DEP DINHEIRO BCO 24H;403974;1.700,00;
Total;;;26.353,84;-10.708,70
;;;;
;Lançamentos Futuros;;;
;;;;
Data;Lançamento;Dcto.;Crédito (R$);Débito (R$)
08/05/2026;LIQUIDACAO DE COBRANCA VALOR DISPONIVEL;5165500;8.400,00;
08/05/2026;STONE MASTER CREDITO STONE INSTITUICAO DE PAGAMENTO;106510;507,69;
Total do dia;;;8.907,69;0
11/05/2026;PAGTO ELETRON  COBRANCA BRADESCO SEGUROS - SEGURO AUTOMO;605110;;-916,71
11/05/2026;PAGTO ELETRON  COBRANCA 070187494301050701BRADESCO ADMIN;150610;;-1.274,82
11/05/2026;PAGTO ELETRON  COBRANCA 070187494001050902BRADESCO ADMIN;150510;;-582,42
11/05/2026;PAGTO ELETRON  COBRANCA 070187493701050900BRADESCO ADMIN;15610;;-1.274,82
11/05/2026;PAGTO ELETRON  COBRANCA 070187493901050902BRADESCO ADMIN;1051605;;-1.274,82
11/05/2026;PAGTO ELETRON  COBRANCA 070187494201050902BRADESCO ADMIN;150165;;-1.274,82
11/05/2026;PAGTO ELETRON  COBRANCA 070187494401050900BRADESCO ADMIN;510616;;-1.274,82
11/05/2026;PAGTO ELETRON  COBRANCA 070187493801050701BRADESCO ADMIN;160565;;-1.274,82
11/05/2026;PAGTO ELETRON  COBRANCA 070187494101050902BRADESCO ADMIN;160778;;-1.274,82
Total do dia;;;0;-10.422,87
;Saldos Invest Fácil / Plus;;;
;;;;
Data;Histórico;Valor (R$);;
05/05/2026;SALDO INVEST FÁCIL            ;0,00;;
06/05/2026;SALDO INVEST FÁCIL            ;0,00;;
